# Distance (mm), Thickness (microns)
-3.000000000000000000e+00,5.155848846586620482e+01
-2.998800000000000132e+00,5.155689845219499290e+01
-2.997599999999999820e+00,5.155530843852378098e+01
-2.996399999999999952e+00,5.155371842485256906e+01
-2.995200000000000085e+00,5.152004944991491442e+01
-2.994000000000000217e+00,5.150732934054521905e+01
-2.992799999999999905e+00,5.149460923117552369e+01
-2.991600000000000037e+00,5.148188912180582832e+01
-2.990400000000000169e+00,5.149405185549110087e+01
-2.989199999999999857e+00,5.148133174612139840e+01
-2.987999999999999989e+00,5.146861163675171014e+01
-2.986800000000000122e+00,5.145589152738201477e+01
-2.985599999999999810e+00,5.145770299835641026e+01
-2.984399999999999942e+00,5.145293295734278161e+01
-2.983200000000000074e+00,5.144816291632914584e+01
-2.982000000000000206e+00,5.144339287531551008e+01
-2.980799999999999894e+00,5.143351687490699931e+01
-2.979600000000000026e+00,5.143192686123578738e+01
-2.978400000000000158e+00,5.143033684756457546e+01
-2.977199999999999847e+00,5.142874683389336354e+01
-2.975999999999999979e+00,5.142093610945841675e+01
-2.974800000000000111e+00,5.141934609578720483e+01
-2.973599999999999799e+00,5.141775608211599291e+01
-2.972399999999999931e+00,5.141616606844478099e+01
-2.971200000000000063e+00,5.140501108990324042e+01
-2.970000000000000195e+00,5.139706102154718792e+01
-2.968799999999999883e+00,5.138911095319112121e+01
-2.967600000000000016e+00,5.138116088483506871e+01
-2.966400000000000148e+00,5.138175060821547646e+01
-2.965199999999999836e+00,5.136744048517456918e+01
-2.963999999999999968e+00,5.135313036213366900e+01
-2.962800000000000100e+00,5.133882023909276171e+01
-2.961599999999999788e+00,5.132803352662843821e+01
-2.960399999999999920e+00,5.130100329421784267e+01
-2.959200000000000053e+00,5.127397306180724712e+01
-2.958000000000000185e+00,5.124694282939665158e+01
-2.956799999999999873e+00,5.126977781446817772e+01
-2.955600000000000005e+00,5.125864771876969428e+01
-2.954400000000000137e+00,5.124751762307121083e+01
-2.953199999999999825e+00,5.123638752737272739e+01
-2.951999999999999957e+00,5.119554731706663375e+01
-2.950800000000000090e+00,5.118600723503936223e+01
-2.949600000000000222e+00,5.117646715301209781e+01
-2.948399999999999910e+00,5.116692707098482629e+01
-2.947200000000000042e+00,5.115603336229536779e+01
-2.946000000000000174e+00,5.113218315722719609e+01
-2.944799999999999862e+00,5.110833295215901018e+01
-2.943599999999999994e+00,5.112197123843743185e+01
-2.942400000000000126e+00,5.110130106071169109e+01
-2.941199999999999815e+00,5.108063088298592902e+01
-2.939999999999999947e+00,5.105996070526018826e+01
-2.938800000000000079e+00,5.105350360748742844e+01
-2.937600000000000211e+00,5.104555353913137594e+01
-2.936399999999999899e+00,5.103760347077530923e+01
-2.935200000000000031e+00,5.102965340241925674e+01
-2.934000000000000163e+00,5.100448440666916383e+01
-2.932799999999999851e+00,5.100289439299795191e+01
-2.931599999999999984e+00,5.100130437932673999e+01
-2.930400000000000116e+00,5.099971436565553518e+01
-2.929199999999999804e+00,5.099140349607517209e+01
-2.927999999999999936e+00,5.098822346873274824e+01
-2.926800000000000068e+00,5.098504344139033151e+01
-2.925600000000000200e+00,5.098186341404790767e+01
-2.924399999999999888e+00,5.098490409746922580e+01
-2.923200000000000021e+00,5.098172407012680196e+01
-2.922000000000000153e+00,5.097854404278437812e+01
-2.920799999999999841e+00,5.097536401544195428e+01
-2.919599999999999973e+00,5.096674211032340907e+01
-2.918400000000000105e+00,5.096515209665219714e+01
-2.917199999999999793e+00,5.096356208298098522e+01
-2.915999999999999925e+00,5.096197206930977330e+01
-2.914800000000000058e+00,5.095416134487482651e+01
-2.913600000000000190e+00,5.095257133120361459e+01
-2.912399999999999878e+00,5.095098131753240267e+01
-2.911200000000000010e+00,5.094939130386119075e+01
-2.910000000000000142e+00,5.093538120978231376e+01
-2.908799999999999830e+00,5.092447026151705813e+01
-2.907599999999999962e+00,5.091355931325180251e+01
-2.906400000000000095e+00,5.090264836498654688e+01
-2.905199999999999783e+00,5.091565184548466760e+01
-2.903999999999999915e+00,5.090882758979972067e+01
-2.902800000000000047e+00,5.090200333411478084e+01
-2.901600000000000179e+00,5.089517907842983391e+01
-2.900399999999999867e+00,5.084047563230959099e+01
-2.899199999999999999e+00,5.082549555885488957e+01
-2.898000000000000131e+00,5.081051548540018103e+01
-2.896799999999999820e+00,5.079553541194546540e+01
-2.895599999999999952e+00,5.081312390924950506e+01
-2.894400000000000084e+00,5.080446875569790421e+01
-2.893200000000000216e+00,5.079581360214630337e+01
-2.891999999999999904e+00,5.078010210726469609e+01
-2.890800000000000036e+00,5.077827120939801375e+01
-2.889600000000000168e+00,5.077644031153132431e+01
-2.888399999999999856e+00,5.077460941366464198e+01
-2.887199999999999989e+00,5.076561537860434470e+01
-2.886000000000000121e+00,5.076378448073766236e+01
-2.884799999999999809e+00,5.076195358287098003e+01
-2.883599999999999941e+00,5.076012268500429769e+01
-2.882400000000000073e+00,5.075112864994400041e+01
-2.881200000000000205e+00,5.074929775207731808e+01
-2.879999999999999893e+00,5.074746685421063574e+01
-2.878800000000000026e+00,5.074563595634394630e+01
-2.877600000000000158e+00,5.073664192128365613e+01
-2.876399999999999846e+00,5.073481102341696669e+01
-2.875199999999999978e+00,5.073298012555028436e+01
-2.874000000000000110e+00,5.073114922768359492e+01
-2.872799999999999798e+00,5.072215519262330474e+01
-2.871599999999999930e+00,5.072032429475661530e+01
-2.870400000000000063e+00,5.071849339688992586e+01
-2.869200000000000195e+00,5.071666249902323642e+01
-2.867999999999999883e+00,5.070683754004845412e+01
-2.866800000000000015e+00,5.070317574431508234e+01
-2.865600000000000147e+00,5.069951394858170346e+01
-2.864399999999999835e+00,5.069585215284832458e+01
-2.863199999999999967e+00,5.069935349430856064e+01
-2.862000000000000099e+00,5.069569169857518176e+01
-2.860800000000000232e+00,5.069202990284180999e+01
-2.859599999999999920e+00,5.068836810710843110e+01
-2.858400000000000052e+00,5.067869500664217952e+01
-2.857200000000000184e+00,5.067686410877549008e+01
-2.855999999999999872e+00,5.067503321090880064e+01
-2.854800000000000004e+00,5.067320231304211120e+01
-2.853600000000000136e+00,5.066420827798181392e+01
-2.852399999999999824e+00,5.066237738011512448e+01
-2.851199999999999957e+00,5.066054648224843504e+01
-2.850000000000000089e+00,5.065871558438174560e+01
-2.848800000000000221e+00,5.064824880831444176e+01
-2.847599999999999909e+00,5.064458701258106288e+01
-2.846400000000000041e+00,5.064092521684769110e+01
-2.845200000000000173e+00,5.063726342111431222e+01
-2.843999999999999861e+00,5.064076476257454118e+01
-2.842799999999999994e+00,5.063710296684116940e+01
-2.841600000000000126e+00,5.063344117110779052e+01
-2.840399999999999814e+00,5.062977937537441875e+01
-2.839199999999999946e+00,5.062074809200070291e+01
-2.838000000000000078e+00,5.061891719413401347e+01
-2.836800000000000210e+00,5.061708629626733114e+01
-2.835599999999999898e+00,5.060809226120703386e+01
-2.834400000000000031e+00,5.060626136334035152e+01
-2.833200000000000163e+00,5.060443046547366208e+01
-2.831999999999999851e+00,5.060259956760697264e+01
-2.830799999999999983e+00,5.059332187231381539e+01
-2.829600000000000115e+00,5.058966007658044362e+01
-2.828400000000000247e+00,5.058599828084707184e+01
-2.827199999999999935e+00,5.058233648511370006e+01
-2.826000000000000068e+00,5.058494959756193055e+01
-2.824800000000000200e+00,5.057762600609518699e+01
-2.823599999999999888e+00,5.057030241462843634e+01
-2.822400000000000020e+00,5.056297882316169279e+01
-2.821200000000000152e+00,5.056342293766769558e+01
-2.819999999999999840e+00,5.055793024406763436e+01
-2.818799999999999972e+00,5.055243755046757315e+01
-2.817600000000000104e+00,5.054694485686751193e+01
-2.816399999999999793e+00,5.048729545987347933e+01
-2.815199999999999925e+00,5.047531140110970682e+01
-2.814000000000000057e+00,5.046332734234593431e+01
-2.812800000000000189e+00,5.045134328358216891e+01
-2.811599999999999877e+00,5.046482144252566115e+01
-2.810400000000000009e+00,5.045683207001648185e+01
-2.809200000000000141e+00,5.044884269750730255e+01
-2.807999999999999829e+00,5.044085332499812324e+01
-2.806799999999999962e+00,5.042860357896389445e+01
-2.805600000000000094e+00,5.042660623583660140e+01
-2.804400000000000226e+00,5.042460889270930124e+01
-2.803199999999999914e+00,5.042261154958200819e+01
-2.802000000000000046e+00,5.041144018129256210e+01
-2.800800000000000178e+00,5.040744549503796890e+01
-2.799599999999999866e+00,5.040345080878336859e+01
-2.798399999999999999e+00,5.039945612252877538e+01
-2.797200000000000131e+00,5.040327576775813867e+01
-2.795999999999999819e+00,5.039928108150354547e+01
-2.794799999999999951e+00,5.039528639524894515e+01
-2.793600000000000083e+00,5.039129170899435195e+01
-2.792400000000000215e+00,5.038119246698450837e+01
-2.791199999999999903e+00,5.037919512385720822e+01
-2.790000000000000036e+00,5.037719778072991517e+01
-2.788800000000000168e+00,5.037520043760262212e+01
-2.787599999999999856e+00,5.036538876299137968e+01
